ABN,Charity_Legal_Name,Other_Organisation_Names,Address_Type,Address_Line_1,Address_Line_2,Address_Line_3,Town_City,State,Postcode,Country,Charity_Website,Registration_Date,Date_Organisation_Established,Charity_Size,Number_of_Responsible_Persons,Financial_Year_End,Operates_in_ACT,Operates_in_NSW,Operates_in_NT,Operates_in_QLD,Operates_in_SA,Operates_in_TAS,Operates_in_VIC,Operates_in_WA,Operating_Countries,PBI,HPC,Preventing_or_relieving_suffering_of_animals,Advancing_Culture,Advancing_Education,Advancing_Health,Promote_or_oppose_a_change_to_law__government_poll_or_prac,Advancing_natual_environment,Promoting_or_protecting_human_rights,Purposes_beneficial_to_ther_general_public_and_other_analogous,Promoting_reconciliation__mutual_respect_and_tolerance,Advancing_Religion,Advancing_social_or_public_welfare,Advancing_security_or_safety_of_Australia_or_Australian_public,Aboriginal_or_TSI,Adults,Aged_Persons,Children,Communities_Overseas,Early_Childhood,Ethnic_Groups,Families,Females,Financially_Disadvantaged,LGBTIQA+,General_Community_in_Australia,Males,Migrants_Refugees_or_Asylum_Seekers,Other_Beneficiaries,Other_Charities,People_at_risk_of_homelessness,People_with_Chronic_Illness,People_with_Disabilities,Pre_Post_Release_Offenders,Rural_Regional_Remote_Communities,Unemployed_Person,Veterans_or_their_families,Victims_of_crime,Victims_of_Disasters,Youth,animals,environment,other_gender_identities,Total_Revenue,Total_Expenses,Total_Assets,Net_Assets,Staff_FullTime,Staff_PartTime,Staff_Volunteers,State_Clean,Num_States_Operated,Num_Purposes,Num_Beneficiaries,Is_NT,Size_Encoded
30650083668.0,LIVING STONES CHRISTIAN CHURCH LTD,,Business,41 Watt Ave,,,Oak Park,VIC,3046,Australia,www.livingscc.com,13/05/2021,11/05/2021,Small,5,30-Jun,0,0,0,0,0,0,1,1,AUS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,177014.0,159955.0,37509.0,37509.0,0.0,0.0,40.0,VIC,2,1,8,0,1.0
21341081313.0,The Joy Foundation,,Business,,,,,,,,,27/05/2021,27/05/2021,Small,6,30-Jun,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,1,1,0,1.0
63242967006.0,Kinross Primary School parents and citizens association incorporated,,Business,Kinross Primary School,,,Kinross,WA,6028,Australia,https://www.kinrossps.wa.edu.au/,01/01/2021,18/11/2008,Small,8,31-Dec,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,209182.0,199514.0,123715.0,122527.0,0.0,1.0,6.0,WA,0,1,9,0,1.0
23850316226.0,AUSTRALIAN JEWISH ASSOCIATION TZEDAKAH INCORPORATED,,Business,Se 501 655 Pacific Hwy,,,St Leonards,NSW,2065,Australia,jewishassociation.org.au,07/09/2020,20/08/2020,Small,4,30-Jun,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,261525.0,122104.0,139421.0,139421.0,0.0,0.0,6.0,NSW,0,4,5,0,1.0
99650063200.0,GNERIS LTD.,,Business,46 Roebuck St,,,Newtown,VIC,3220,Australia,http://gneris.com.au,13/05/2021,10/05/2021,Small,3,30-Jun,0,0,0,0,0,0,1,0,AUS,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,8001.0,-16998.0,0.0,0.0,1.0,VIC,1,2,3,0,1.0
52448968284.0,Diamond Foundation,,Business,,,,,,,,,14/05/2021,14/05/2021,Small,3,30-Jun,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,130000.0,266679.0,106770.0,94636.0,0.0,0.0,0.0,,0,1,1,0,1.0
19278285465.0,The Trustee for the Jimfan Foundation,,Business,L 11 309 Kent St,,,Sydney,NSW,2000,Australia,,25/01/2021,21/01/2021,Small,3,30-Jun,0,0,0,0,0,0,0,0,AUS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,0.0,124489.0,1567631.0,1760.0,0.0,0.0,0.0,NSW,0,1,1,0,1.0
96171939285.0,The Vitek Foundation,,Business,9 Keith St,,,Clovelly,NSW,2031,Australia,,18/05/2021,11/05/2021,Small,3,30-Jun,0,1,0,0,0,0,0,0,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,24078.0,81289.0,401380.0,398380.0,0.0,0.0,0.0,NSW,1,0,1,0,1.0
37650268385.0,WHAT ABILITY FOUNDATION LIMITED,,Business,Se 401 19a Roseby St,,,Drummoyne,NSW,2047,Australia,www.whatabilityfoundation.org.au,17/05/2021,17/05/2021,Small,3,30-Jun,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,296286.0,133706.0,181836.0,181836.0,1.0,0.0,0.0,NSW,0,1,2,0,1.0
97649406815.0,TATI TATI KAIEJIN LTD,,Business,46 Perrin st,,,Robinvale,VIC,3549,Australia,https://www.kaiejin.org.au,13/04/2021,13/04/2021,Medium,2,30-Jun,0,0,0,0,0,0,1,0,AUS,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,,Y,,1463742.0,775361.0,1222063.0,1203166.0,2.0,12.0,0.0,VIC,1,2,11,0,2.0
